,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Target_Graduate
1538,2,3,0
1539,0,0,0
1540,3,4,0
1541,0,0,0
1542,1,0,0
1543,0,0,0
1544,4,3,0
1545,4,6,1
1546,5,5,0
1547,0,0,0
1548,0,0,0
1549,0,0,0
1550,16,13,1
1551,10,6,1
1552,14,12,1
1553,5,5,1
1554,6,6,1
1555,7,8,1
1556,0,0,0
1557,0,0,0
1558,0,0,0
1559,8,8,1
1560,7,4,0
1561,5,4,0
1562,3,5,1
1563,3,2,0
1564,6,4,0
1565,6,6,1
1566,7,8,1
1567,4,5,1
1568,0,2,0
1569,0,0,0
1570,12,7,0
1571,0,0,0
1572,0,0,0
1573,5,4,0
1574,8,5,1
1575,0,0,1
1576,5,4,0
1577,4,4,0
1578,3,3,0
1579,0,0,0
1580,6,6,1
1581,1,4,0
1582,0,1,0
1583,5,5,0
1584,5,6,1
1585,0,0,1
1586,4,4,0
1587,5,3,0
1588,2,1,0
1589,6,6,1
1590,1,0,0
1591,0,0,0
1592,4,2,0
1593,0,0,0
1594,2,4,0
1595,4,4,0
1596,6,6,0
1597,6,6,1
1598,4,5,0
1599,4,3,0
1600,0,0,1
1601,6,4,0
1602,5,3,0
1603,6,5,1
1604,2,0,0
1605,11,8,0
1606,4,6,1
1607,8,8,1
1608,6,5,0
1609,6,6,1
1610,3,2,0
1611,5,5,0
1612,6,8,1
1613,0,0,0
1614,6,6,1
1615,3,2,0
1616,4,4,1
1617,5,5,0
1618,6,6,0
1619,6,5,1
1620,6,5,1
1621,3,5,1
1622,6,4,0
1623,6,4,0
1624,10,9,0
1625,1,0,0
1626,6,5,1
1627,4,4,0
1628,3,4,0
1629,0,0,0
1630,4,4,1
1631,0,0,0
1632,5,5,1
1633,13,11,0
1634,5,5,1
1635,6,6,1
1636,3,4,1
1637,6,7,1
1638,0,0,0
1639,11,11,1
1640,7,8,1
1641,6,6,1
1642,7,8,1
1643,5,6,1
1644,5,1,0
1645,0,0,0
1646,12,11,1
1647,7,8,1
1648,7,7,0
1649,7,7,1
1650,7,7,0
1651,7,7,1
1652,5,5,0
1653,7,8,1
1654,6,0,0
1655,5,5,1
1656,5,5,1
1657,4,2,0
1658,0,0,1
1659,0,0,0
1660,11,7,1
1661,6,6,1
1662,7,8,1
1663,7,8,1
1664,5,4,1
1665,6,5,0
1666,6,6,1
1667,8,8,1
1668,5,5,0
1669,4,5,1
1670,4,4,0
1671,6,6,1
1672,5,4,0
1673,7,8,1
1674,6,6,1
1675,5,0,0
1676,0,0,0
1677,4,5,1
1678,4,5,1
1679,3,0,0
1680,3,2,0
1681,4,3,0
1682,4,5,0
1683,3,4,0
1684,6,5,1
1685,6,6,1
1686,0,5,1
1687,3,0,0
1688,0,0,0
1689,0,0,0
1690,0,0,0
1691,0,0,0
1692,7,8,1
1693,5,4,0
1694,0,0,0
1695,6,6,1
1696,5,6,1
1697,0,0,0
1698,7,0,0
1699,0,0,0
1700,8,8,1
1701,6,6,1
1702,0,0,0
1703,6,6,1
1704,6,6,1
1705,2,3,0
1706,0,0,0
1707,4,4,0
1708,4,4,0
1709,6,6,1
1710,4,7,0
1711,8,8,1
1712,5,5,0
1713,4,2,0
1714,6,6,1
1715,8,8,1
1716,7,6,1
1717,1,1,0
1718,0,2,0
1719,0,0,0
1720,5,5,1
1721,6,5,1
1722,11,12,1
1723,6,5,1
1724,17,17,1
1725,3,4,0
1726,16,13,1
1727,4,4,0
1728,0,0,0
1729,12,13,1
1730,5,5,1
1731,4,3,0
1732,3,2,0
1733,9,9,0
1734,2,3,0
1735,6,8,1
1736,8,8,1
1737,6,7,0
1738,6,6,1
1739,0,0,0
1740,5,3,0
1741,5,2,0
1742,6,5,0
1743,3,2,0
1744,1,0,0
1745,4,3,0
1746,5,4,0
1747,0,0,0
1748,0,0,0
1749,13,10,0
1750,7,4,0
1751,0,0,1
1752,5,4,0
1753,0,2,0
1754,0,0,0
1755,5,5,0
1756,10,10,0
1757,3,0,0
1758,6,6,1
1759,7,7,1
1760,6,6,1
1761,0,0,0
1762,6,6,1
1763,3,4,1
1764,11,9,1
1765,0,0,0
1766,3,1,0
1767,8,6,0
1768,0,0,0
1769,3,3,0
1770,4,5,0
1771,2,4,0
1772,6,6,1
1773,5,4,0
1774,5,3,0
1775,0,0,0
1776,9,7,1
1777,5,5,0
1778,4,4,1
1779,7,8,1
1780,5,5,0
1781,6,6,1
1782,7,7,0
1783,4,2,0
1784,7,8,0
1785,3,4,0
1786,0,0,0
1787,4,4,1
1788,4,0,0
1789,6,6,1
1790,7,7,1
1791,0,0,0
1792,3,2,0
1793,0,0,0
1794,4,6,0
1795,7,7,1
1796,6,6,1
1797,3,3,0
1798,5,3,0
1799,3,0,0
1800,5,5,0
1801,12,7,1
1802,4,5,1
1803,6,4,0
1804,0,0,0
1805,0,0,0
1806,5,3,0
1807,0,0,0
1808,5,4,0
1809,6,5,1
1810,6,6,1
1811,7,8,1
1812,5,5,0
1813,5,5,1
1814,0,0,0
1815,6,6,0
1816,13,13,1
1817,6,6,1
1818,0,0,0
1819,7,8,0
1820,5,3,0
1821,4,5,0
1822,1,0,0
1823,2,2,0
1824,6,6,1
1825,6,6,1
1826,6,6,1
1827,3,2,0
1828,0,0,0
1829,4,5,0
1830,5,4,0
1831,6,5,1
1832,5,5,1
1833,3,3,0
1834,6,8,1
1835,5,6,1
1836,9,7,1
1837,5,5,0
1838,8,8,1
1839,6,2,1
1840,0,0,0
1841,2,0,0
1842,5,3,1
1843,5,5,0
1844,7,8,1
1845,4,2,0
1846,6,4,0
1847,4,2,0
1848,6,8,1
1849,3,4,0
1850,0,0,0
1851,5,5,0
1852,5,5,1
1853,6,6,1
1854,2,2,0
1855,0,0,0
1856,6,6,1
1857,5,5,1
1858,6,6,1
1859,2,2,0
1860,0,0,0
1861,0,1,0
1862,2,0,0
1863,6,6,1
1864,0,0,0
1865,5,5,1
1866,2,0,0
1867,0,0,0
1868,12,11,1
1869,6,3,1
1870,0,0,0
1871,1,0,0
1872,7,9,1
1873,0,0,0
1874,6,4,1
1875,6,6,1
1876,0,0,0
1877,0,0,0
1878,0,0,0
1879,7,7,1
1880,5,6,0
1881,4,3,0
1882,0,0,0
1883,0,0,1
1884,4,3,0
1885,6,6,1
1886,6,4,0
1887,0,0,0
1888,6,5,1
1889,0,0,1
1890,0,0,1
1891,8,8,1
1892,4,0,0
1893,0,0,0
1894,17,17,1
1895,2,3,0
1896,4,2,0
1897,5,4,0
1898,0,0,1
1899,10,8,1
1900,6,6,1
1901,9,9,1
1902,6,6,1
1903,6,6,1
1904,6,6,1
1905,6,6,1
1906,7,8,1
1907,7,7,1
1908,5,5,0
1909,6,6,1
1910,5,5,1
1911,8,8,1
1912,7,8,1
1913,3,0,0
1914,5,5,1
1915,6,6,1
1916,6,6,1
1917,7,8,1
1918,5,5,1
1919,5,5,0
1920,5,2,0
1921,6,6,1
1922,5,3,0
1923,5,4,1
1924,1,0,0
1925,8,5,1
1926,5,5,1
1927,6,6,1
1928,5,5,0
1929,7,8,1
1930,7,8,1
1931,6,6,1
1932,5,4,1
1933,8,8,1
1934,6,7,1
1935,7,8,1
1936,6,4,1
1937,6,6,1
1938,5,1,0
1939,5,5,1
1940,6,6,1
1941,6,6,1
1942,6,6,1
1943,6,5,1
1944,6,6,0
1945,7,8,1
1946,8,8,1
1947,4,3,1
1948,6,6,1
1949,6,7,1
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,6,6,1
1954,5,5,0
1955,6,6,1
1956,5,2,0
1957,7,7,1
1958,5,6,0
1959,8,6,0
1960,6,6,1
1961,0,0,0
1962,5,5,1
1963,7,8,1
1964,4,3,1
1965,11,12,1
1966,3,3,1
1967,3,5,0
1968,4,3,0
1969,6,5,1
1970,8,3,0
1971,6,6,1
1972,5,5,0
1973,5,5,1
1974,7,8,1
1975,10,10,0
1976,4,7,0
1977,6,5,1
1978,6,3,0
1979,5,6,1
1980,4,5,1
1981,6,6,1
1982,3,5,1
1983,6,6,1
1984,8,8,1
1985,4,4,1
1986,8,8,1
1987,0,0,0
1988,6,8,1
1989,4,5,0
1990,5,5,1
1991,0,0,0
1992,6,4,0
1993,5,5,1
1994,0,0,0
1995,6,6,1
1996,6,6,1
1997,6,6,1
1998,1,0,0
1999,14,13,1
2000,6,3,0
2001,6,0,0
2002,6,5,1
2003,6,4,0
2004,0,0,0
2005,5,5,1
2006,6,6,1
2007,6,6,1
2008,0,0,1
2009,0,0,0
2010,6,6,1
2011,5,5,1
2012,5,5,0
2013,0,0,0
2014,0,0,0
2015,6,6,1
2016,5,5,1
2017,7,8,1
2018,5,5,0
2019,6,6,1
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,6,6,1
2024,2,4,0
2025,7,7,1
2026,0,0,1
2027,0,0,0
2028,6,6,1
2029,6,6,1
2030,7,8,1
2031,5,0,0
2032,6,4,1
2033,0,0,0
2034,6,6,1
2035,3,4,0
2036,2,1,0
2037,2,2,0
2038,5,4,1
2039,6,6,1
2040,3,2,0
2041,7,10,1
2042,6,6,1
2043,6,6,1
2044,6,4,1
2045,6,7,1
2046,0,0,0
2047,4,4,0
2048,7,8,1
2049,7,7,1
2050,4,5,1
2051,6,6,1
2052,2,0,0
2053,5,6,0
2054,7,8,1
2055,6,6,1
2056,12,11,1
2057,6,2,0
2058,5,4,1
2059,4,5,0
2060,7,8,1
2061,7,8,1
2062,7,7,1
2063,5,5,1
2064,5,5,1
2065,6,6,1
2066,6,6,1
2067,6,6,1
2068,5,5,0
2069,3,3,0
2070,6,6,1
2071,6,6,1
2072,6,5,1
2073,5,5,1
2074,6,6,1
2075,6,6,1
2076,6,6,1
2077,8,8,1
2078,7,7,1
2079,6,6,1
2080,7,7,1
2081,6,6,1
2082,7,8,1
2083,6,6,1
2084,6,6,1
2085,0,0,0
2086,0,0,0
2087,6,5,0
2088,6,6,1
2089,5,5,0
2090,6,6,1
2091,5,3,0
2092,7,7,1
2093,6,6,1
2094,6,5,0
2095,14,12,1
2096,0,0,0
2097,5,6,1
2098,8,8,1
2099,6,5,0
2100,5,5,0
2101,4,4,1
2102,7,8,1
2103,4,3,0
2104,6,6,1
2105,5,2,0
2106,1,4,0
2107,6,5,1
2108,2,3,0
2109,6,5,1
2110,1,3,0
2111,6,6,1
2112,7,8,1
2113,6,6,1
2114,5,4,0
2115,0,0,0
2116,6,6,1
2117,8,8,0
2118,6,5,1
2119,0,0,0
2120,2,0,0
2121,5,4,1
2122,5,5,1
2123,5,0,0
2124,0,0,1
2125,0,1,0
2126,6,8,0
2127,6,6,0
2128,0,0,0
2129,6,6,1
2130,6,4,0
2131,6,6,1
2132,3,5,1
2133,7,8,1
2134,7,7,1
2135,0,0,0
2136,4,6,1
2137,6,6,1
2138,7,8,1
2139,2,2,0
2140,7,7,0
2141,2,5,1
2142,6,6,1
2143,0,0,1
2144,6,6,1
2145,5,5,0
2146,5,6,1
2147,6,4,1
2148,5,5,1
2149,6,6,1
2150,7,7,1
2151,3,5,0
2152,7,8,1
2153,11,9,1
2154,6,6,1
2155,7,8,1
2156,0,0,0
2157,6,6,1
2158,5,5,1
2159,2,3,0
2160,7,7,1
2161,3,4,0
2162,0,0,0
2163,6,7,1
2164,6,6,1
2165,6,6,1
2166,7,7,1
2167,4,5,1
2168,7,8,1
2169,6,6,1
2170,7,7,1
2171,6,6,1
2172,6,3,1
2173,1,0,0
2174,11,11,1
2175,0,0,1
2176,6,6,1
2177,4,2,0
2178,7,8,1
2179,6,6,1
2180,0,0,0
2181,5,6,1
2182,6,8,1
2183,12,10,0
2184,1,2,0
2185,4,3,1
2186,6,5,0
2187,8,8,1
2188,6,3,1
2189,5,6,0
2190,0,0,0
2191,0,0,0
2192,5,4,0
2193,3,3,0
2194,0,0,1
2195,4,6,0
2196,2,4,0
2197,3,4,0
2198,3,2,0
2199,0,0,0
2200,4,0,0
2201,7,2,1
2202,5,4,1
2203,0,0,0
2204,5,5,1
2205,6,6,0
2206,0,0,0
2207,0,3,0
2208,3,3,0
2209,0,0,0
2210,7,7,1
2211,6,6,1
2212,5,3,0
2213,5,3,0
2214,6,6,1
2215,5,8,0
2216,6,4,1
2217,5,3,0
2218,6,6,1
2219,6,6,1
2220,7,7,1
2221,7,7,1
2222,4,3,0
2223,0,0,0
2224,7,7,1
2225,2,4,0
2226,5,5,1
2227,0,0,0
2228,5,4,0
2229,6,4,1
2230,0,0,1
2231,0,0,0
2232,2,0,0
2233,4,3,0
2234,3,4,0
2235,0,0,1
2236,4,2,0
2237,0,0,0
2238,6,3,0
2239,0,0,0
2240,6,5,1
2241,4,3,0
2242,5,2,0
2243,7,8,1
2244,3,1,0
2245,6,6,1
2246,6,6,0
2247,0,0,0
2248,0,0,0
2249,5,4,1
2250,6,2,0
2251,10,7,0
2252,8,5,0
2253,0,0,0
2254,2,0,0
2255,6,5,0
2256,21,12,0
2257,3,2,0
2258,2,3,0
2259,7,6,1
2260,6,6,0
2261,0,2,0
2262,2,0,0
2263,11,10,0
2264,5,5,0
2265,5,4,0
2266,2,1,0
2267,0,0,0
2268,4,3,0
2269,0,0,0
2270,0,0,0
2271,6,5,1
2272,3,5,0
2273,0,0,0
2274,0,0,0
2275,3,2,0
2276,6,6,1
2277,6,4,1
2278,5,3,0
2279,6,0,0
2280,17,12,1
2281,4,4,0
2282,5,5,0
2283,10,10,1
2284,6,4,0
2285,0,0,0
2286,5,5,1
2287,6,6,1
2288,4,2,0
2289,0,0,0
2290,2,2,0
2291,5,5,1
2292,3,3,0
2293,6,6,1
2294,0,0,0
2295,6,6,1
2296,0,1,0
2297,5,5,1
2298,4,6,1
2299,0,0,0
2300,3,1,0
2301,6,5,0
2302,5,2,0
2303,5,5,0
2304,0,0,0
2305,6,6,0
2306,2,0,0
2307,0,0,0
2308,0,0,0
2309,5,5,1
2310,6,6,1
2311,6,8,1
2312,4,0,0
2313,4,5,1
2314,6,6,1
2315,5,5,0
2316,2,2,0
2317,0,0,0
2318,0,0,0
2319,6,6,1
2320,4,0,0
2321,5,4,0
2322,1,1,0
2323,7,7,0
2324,6,6,1
2325,1,0,0
2326,0,1,0
2327,2,3,0
2328,0,0,1
2329,0,0,0
2330,0,0,0
2331,0,0,0
2332,5,5,1
2333,0,0,0
2334,6,6,1
2335,6,6,1
2336,4,5,0
2337,0,0,0
2338,4,3,0
2339,5,5,0
2340,0,0,0
2341,4,3,0
2342,18,12,1
2343,4,5,1
2344,7,8,1
2345,9,7,1
2346,4,4,0
2347,5,5,1
2348,0,0,0
2349,6,6,1
2350,7,7,1
2351,12,10,1
2352,4,5,1
2353,4,5,1
2354,0,0,0
2355,6,6,1
2356,0,0,1
2357,4,4,0
2358,6,6,1
2359,4,2,0
2360,1,1,0
2361,0,0,0
2362,3,5,1
2363,0,2,0
2364,4,4,0
2365,6,6,1
2366,13,11,0
2367,6,6,1
2368,6,5,0
2369,1,3,0
2370,6,5,0
2371,0,0,1
2372,0,0,0
2373,5,6,0
2374,4,3,0
2375,4,5,0
2376,4,4,1
2377,0,0,0
2378,8,3,0
2379,6,6,1
2380,5,6,1
2381,6,6,1
2382,6,5,0
2383,10,9,0
2384,4,0,0
2385,6,6,1
2386,5,3,0
2387,0,0,1
2388,4,2,0
2389,0,0,0
2390,6,4,0
2391,8,10,0
2392,2,3,0
2393,0,0,0
2394,5,5,1
2395,3,3,0
2396,0,0,0
2397,5,5,0
2398,6,6,1
2399,7,8,1
2400,4,4,0
2401,5,5,1
2402,3,3,0
2403,7,7,1
2404,4,4,0
2405,6,6,1
2406,0,0,1
2407,0,0,0
2408,0,0,0
2409,4,3,0
2410,0,0,0
2411,4,0,0
2412,3,4,0
2413,5,3,1
2414,8,10,1
2415,0,0,0
2416,4,4,0
2417,15,14,1
2418,11,11,1
2419,7,5,0
2420,0,0,0
2421,0,0,0
2422,6,5,1
2423,0,0,0
2424,0,0,0
2425,0,0,0
2426,0,0,0
2427,5,5,1
2428,6,6,0
2429,7,5,0
2430,4,5,1
2431,5,5,1
2432,6,6,0
2433,4,3,0
2434,0,3,0
2435,5,5,1
2436,13,12,1
2437,3,3,0
2438,11,10,0
2439,1,0,0
2440,0,0,0
2441,5,3,0
2442,0,1,0
2443,6,12,1
2444,0,0,0
2445,6,4,0
2446,7,5,0
2447,2,3,1
2448,0,0,0
2449,9,5,0
2450,0,0,0
2451,4,0,0
2452,5,4,1
2453,12,11,0
2454,0,0,0
2455,6,6,1
2456,6,6,1
2457,3,1,0
2458,0,0,0
2459,5,5,1
2460,4,0,0
2461,0,0,0
2462,0,0,0
2463,0,0,0
2464,4,4,0
2465,5,0,0
2466,4,1,0
2467,5,6,0
2468,4,3,0
2469,0,0,0
2470,5,2,0
2471,0,0,0
2472,4,3,0
2473,0,0,0
2474,6,6,1
2475,0,0,0
2476,20,20,1
2477,6,5,0
2478,7,7,1
2479,3,3,0
2480,0,0,0
2481,6,5,1
2482,5,5,1
2483,10,11,1
2484,5,5,1
2485,4,1,0
2486,0,0,0
2487,0,0,0
2488,3,2,0
2489,6,6,1
2490,3,4,0
2491,5,2,0
2492,4,7,0
2493,6,5,1
2494,6,6,1
2495,6,6,1
2496,0,0,1
2497,6,6,1
2498,0,0,0
2499,2,1,0
2500,6,5,1
2501,3,6,1
2502,20,14,1
2503,6,7,1
2504,0,0,0
2505,7,7,1
2506,7,8,1
2507,6,5,1
2508,0,0,1
2509,14,13,1
2510,5,0,0
2511,4,5,0
2512,7,8,1
2513,6,6,1
2514,6,5,0
2515,4,1,0
2516,6,4,1
2517,7,7,1
2518,6,6,1
2519,6,6,1
2520,6,6,1
2521,6,6,1
2522,7,7,1
2523,0,0,0
2524,6,0,0
2525,6,3,1
2526,6,6,0
2527,7,8,1
2528,6,6,1
2529,5,4,1
2530,6,6,1
2531,6,6,1
2532,3,6,1
2533,6,6,0
2534,6,6,1
2535,5,4,0
2536,5,5,0
2537,6,6,1
2538,6,5,1
2539,4,5,1
2540,2,0,0
2541,6,0,0
2542,7,8,1
2543,0,0,0
2544,3,4,0
2545,6,6,1
2546,6,6,1
2547,8,8,1
2548,6,6,1
2549,2,0,0
2550,15,11,1
2551,6,6,0
2552,6,6,1
2553,2,0,0
2554,3,3,0
2555,4,2,0
2556,4,5,1
2557,0,0,0
2558,5,2,0
2559,6,6,0
2560,6,5,1
2561,8,8,1
2562,2,0,0
2563,1,0,0
2564,6,6,1
2565,6,6,1
2566,7,8,1
2567,3,5,0
2568,5,5,0
2569,6,6,1
2570,8,8,1
2571,7,8,1
2572,6,6,1
2573,6,6,1
2574,6,6,1
2575,9,7,1
2576,4,3,0
2577,2,1,0
2578,6,6,1
2579,6,6,1
2580,6,6,1
2581,0,0,0
2582,5,5,1
2583,4,4,0
2584,6,6,1
2585,5,6,1
2586,3,3,0
2587,2,1,0
2588,3,2,0
2589,5,5,0
2590,0,0,0
2591,6,6,0
2592,9,10,1
2593,6,8,0
2594,2,1,0
2595,6,6,1
2596,5,5,0
2597,0,0,0
2598,2,4,0
2599,5,5,0
2600,6,5,0
2601,4,3,0
2602,6,6,1
2603,0,0,0
2604,2,1,0
2605,3,5,1
2606,5,5,1
2607,5,6,0
2608,6,4,1
2609,3,2,0
2610,6,8,1
2611,4,4,1
2612,5,5,1
2613,0,0,0
2614,5,3,0
2615,5,4,0
2616,5,0,0
2617,5,5,1
2618,6,5,0
2619,6,6,1
2620,9,10,0
2621,6,6,1
2622,11,10,1
2623,2,1,0
2624,6,6,1
2625,0,1,0
2626,7,8,1
2627,7,7,0
2628,4,4,0
2629,4,5,0
2630,2,1,0
2631,4,0,0
2632,8,8,1
2633,7,7,1
2634,6,4,0
2635,2,0,0
2636,3,0,0
2637,0,0,1
2638,5,5,1
2639,17,17,1
2640,0,0,0
2641,6,6,1
2642,3,0,0
2643,4,3,0
2644,5,5,1
2645,0,0,0
2646,7,7,0
2647,4,2,0
2648,6,2,0
2649,5,5,0
2650,5,8,0
2651,5,1,0
2652,6,6,1
2653,0,0,0
2654,7,7,1
2655,6,6,1
2656,0,0,1
2657,6,6,0
2658,0,0,0
2659,6,5,0
2660,4,4,0
2661,5,6,1
2662,4,4,0
2663,0,0,0
2664,5,5,1
2665,2,4,0
2666,6,6,1
2667,2,1,0
2668,7,7,0
2669,4,0,0
2670,4,5,0
2671,5,5,1
2672,3,1,0
2673,3,4,0
2674,4,6,1
2675,6,4,0
2676,0,2,0
2677,5,5,1
2678,0,0,0
2679,5,5,1
2680,12,12,1
2681,6,0,0
2682,0,1,0
2683,3,3,1
2684,0,0,0
2685,5,3,0
2686,5,3,0
2687,0,0,0
2688,0,0,0
2689,2,0,0
2690,4,2,0
2691,5,4,1
2692,5,4,1
2693,6,6,1
2694,6,6,1
2695,4,6,0
2696,0,0,0
2697,4,4,0
2698,5,8,0
2699,7,7,1
2700,0,0,0
2701,1,0,0
2702,0,0,0
2703,3,4,0
2704,0,0,0
2705,3,1,0
2706,4,5,1
2707,0,0,0
2708,6,6,1
2709,7,7,0
2710,5,6,1
2711,0,0,0
2712,2,0,0
2713,6,5,1
2714,6,6,0
2715,5,7,1
2716,0,0,0
2717,7,6,1
2718,7,7,1
2719,6,6,1
2720,6,6,1
2721,3,4,0
2722,4,3,0
2723,2,2,0
2724,6,6,1
2725,1,2,0
2726,5,6,1
2727,7,7,1
2728,6,5,0
2729,4,5,1
2730,6,6,1
2731,6,6,1
2732,7,7,0
2733,2,3,0
2734,5,5,1
2735,6,6,1
2736,7,8,1
2737,6,4,0
2738,5,5,1
2739,4,5,1
2740,6,6,1
2741,6,6,1
2742,6,6,1
2743,6,6,1
2744,6,5,0
2745,6,6,1
2746,7,6,0
2747,0,0,0
2748,0,0,0
2749,4,5,0
2750,0,0,0
2751,6,6,1
2752,0,0,0
2753,10,10,1
2754,10,5,0
2755,15,9,1
2756,1,1,0
2757,0,0,0
2758,0,0,0
2759,4,4,0
2760,6,7,0
2761,8,6,0
2762,3,3,0
2763,10,7,1
2764,3,3,0
2765,8,8,1
2766,7,7,1
2767,0,0,0
2768,5,5,1
2769,0,1,0
2770,7,8,1
2771,8,8,1
2772,5,5,0
2773,8,8,1
2774,5,7,0
2775,7,7,1
2776,0,0,0
2777,4,5,0
2778,17,12,1
2779,5,5,1
2780,7,8,1
2781,3,1,0
2782,3,2,0
2783,5,6,0
2784,6,6,1
2785,11,7,1
2786,3,1,0
2787,3,4,0
2788,0,0,0
2789,0,0,0
2790,2,1,0
2791,6,6,1
2792,8,7,1
2793,0,0,1
2794,0,0,0
2795,7,8,1
2796,0,0,0
2797,6,5,1
2798,14,14,1
2799,5,3,0
2800,6,6,1
2801,0,0,0
2802,6,6,1
2803,6,6,1
2804,6,6,1
2805,6,6,1
2806,5,6,1
2807,6,6,0
2808,6,6,1
2809,4,6,0
2810,6,6,1
2811,5,5,0
2812,7,8,1
2813,3,4,1
2814,0,0,1
2815,5,6,1
2816,6,6,1
2817,4,4,0
2818,9,7,1
2819,0,3,0
2820,7,7,1
2821,0,0,0
2822,6,6,1
2823,6,5,0
2824,5,5,0
2825,6,4,0
2826,6,5,1
2827,4,2,1
2828,6,6,0
2829,0,0,0
2830,5,4,1
2831,5,4,0
2832,6,6,0
2833,3,2,0
2834,6,5,1
2835,12,11,1
2836,0,0,0
2837,3,5,0
2838,0,0,0
2839,6,6,1
2840,3,2,0
2841,19,13,1
2842,6,5,1
2843,0,0,0
2844,2,3,0
2845,6,6,1
2846,1,0,0
2847,0,0,0
2848,13,10,0
2849,4,5,1
2850,0,0,0
2851,6,6,1
2852,11,11,1
2853,6,6,1
2854,0,0,0
2855,5,7,0
2856,6,6,1
2857,0,0,0
2858,5,5,1
2859,5,4,0
2860,4,4,1
2861,5,5,1
2862,6,6,1
2863,21,19,1
2864,5,5,0
2865,5,5,1
2866,0,0,0
2867,6,4,1
2868,4,5,0
2869,5,5,1
2870,17,17,1
2871,0,0,0
2872,6,9,0
2873,13,13,1
2874,0,0,0
2875,15,12,0
2876,0,0,0
2877,5,4,0
2878,11,8,0
2879,4,3,0
2880,5,4,1
2881,8,5,0
2882,1,2,0
2883,6,6,1
2884,13,12,1
2885,11,8,1
2886,5,5,1
2887,6,6,1
2888,6,6,1
2889,6,5,1
2890,8,6,1
2891,0,0,0
2892,6,6,1
2893,9,6,0
2894,6,5,1
2895,6,6,1
2896,4,5,0
2897,7,8,1
2898,7,7,1
2899,0,0,1
2900,11,12,0
2901,0,0,0
2902,7,8,1
2903,6,6,1
2904,4,3,0
2905,6,6,1
2906,6,6,1
2907,6,6,1
2908,8,7,1
2909,5,4,0
2910,0,0,0
2911,8,8,1
2912,0,0,0
2913,6,6,1
2914,0,0,0
2915,6,5,0
2916,12,10,1
2917,6,7,1
2918,14,12,0
2919,0,0,0
2920,0,0,1
2921,4,0,0
2922,6,5,0
2923,1,0,0
2924,7,7,1
2925,6,6,1
2926,6,6,1
2927,4,5,1
2928,0,0,0
2929,1,1,0
2930,0,2,0
2931,1,0,0
2932,0,0,0
2933,7,7,1
2934,0,0,0
2935,1,4,0
2936,0,0,0
2937,4,0,0
2938,4,4,0
2939,0,0,0
2940,5,6,1
2941,7,8,0
2942,12,11,1
2943,6,11,1
2944,7,8,1
2945,4,3,0
2946,0,0,0
2947,6,6,1
2948,6,6,1
2949,3,1,0
2950,6,5,1
2951,6,6,1
2952,5,3,0
2953,0,0,0
2954,6,5,1
2955,0,0,1
2956,0,0,0
2957,11,8,1
2958,3,2,0
2959,6,6,1
2960,4,6,1
2961,7,7,1
2962,2,1,0
2963,5,4,1
2964,6,6,0
2965,5,5,1
2966,7,8,1
2967,0,0,0
2968,4,6,1
2969,5,5,1
2970,10,4,1
2971,1,2,0
2972,3,4,0
2973,4,3,1
2974,0,0,0
2975,10,10,1
2976,6,6,1
2977,14,16,0
2978,6,5,1
