,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Target_Graduate
2979,4,4,0
2980,6,6,1
2981,6,6,1
2982,7,8,1
2983,6,6,1
2984,6,6,1
2985,6,6,1
2986,4,4,0
2987,6,6,1
2988,12,11,1
2989,4,5,0
2990,6,4,1
2991,7,7,1
2992,0,0,0
2993,5,6,1
2994,6,6,1
2995,7,8,1
2996,5,5,1
2997,4,4,0
2998,6,6,1
2999,0,0,0
3000,7,7,0
3001,7,7,1
3002,6,5,0
3003,7,8,0
3004,5,5,1
3005,7,8,1
3006,4,4,1
3007,2,4,0
3008,5,4,0
3009,7,8,1
3010,6,6,1
3011,5,3,0
3012,6,7,1
3013,6,6,1
3014,0,0,0
3015,7,8,1
3016,11,9,1
3017,7,8,1
3018,5,5,1
3019,5,5,1
3020,3,5,1
3021,6,8,1
3022,4,4,0
3023,0,0,1
3024,0,0,1
3025,7,7,1
3026,6,6,0
3027,4,3,0
3028,8,7,1
3029,4,4,1
3030,14,11,0
3031,7,8,1
3032,6,8,1
3033,6,6,1
3034,5,5,1
3035,6,6,1
3036,0,0,0
3037,6,6,1
3038,6,6,1
3039,4,6,0
3040,6,6,0
3041,6,7,0
3042,6,5,1
3043,6,6,1
3044,6,6,1
3045,5,4,1
3046,3,4,0
3047,6,5,0
3048,5,5,1
3049,4,5,1
3050,5,3,0
3051,2,3,0
3052,6,6,1
3053,5,3,0
3054,6,6,1
3055,3,2,0
3056,6,6,1
3057,0,0,0
3058,7,7,1
3059,7,7,1
3060,6,6,0
3061,2,0,0
3062,4,4,0
3063,6,6,1
3064,5,6,1
3065,0,0,0
3066,6,8,1
3067,5,5,0
3068,6,5,1
3069,0,0,0
3070,6,4,0
3071,0,0,0
3072,5,5,0
3073,4,3,0
3074,12,9,0
3075,5,5,0
3076,3,3,0
3077,0,0,0
3078,5,4,1
3079,5,2,0
3080,5,5,1
3081,7,8,1
3082,11,11,1
3083,0,0,0
3084,5,6,1
3085,6,4,0
3086,15,14,1
3087,3,4,1
3088,7,7,1
3089,0,0,0
3090,4,6,1
3091,5,5,0
3092,6,6,1
3093,20,20,1
3094,1,0,0
3095,6,6,1
3096,6,6,1
3097,4,0,0
3098,5,6,0
3099,1,0,0
3100,7,8,1
3101,5,5,1
3102,3,4,0
3103,0,0,0
3104,6,6,1
3105,5,5,0
3106,8,8,1
3107,7,8,1
3108,6,6,0
3109,5,5,1
3110,0,0,0
3111,7,8,1
3112,6,6,0
3113,5,5,0
3114,6,6,1
3115,6,6,1
3116,0,0,0
3117,6,6,1
3118,5,4,1
3119,3,3,0
3120,5,6,0
3121,7,8,1
3122,3,4,0
3123,6,6,1
3124,7,8,1
3125,15,13,1
3126,6,3,0
3127,5,5,1
3128,5,5,1
3129,6,6,1
3130,6,5,1
3131,7,7,1
3132,6,6,1
3133,6,8,0
3134,7,5,0
3135,0,0,1
3136,4,4,1
3137,6,6,1
3138,6,6,1
3139,5,4,0
3140,6,6,1
3141,4,5,1
3142,1,0,0
3143,7,7,1
3144,6,6,1
3145,7,8,1
3146,6,6,1
3147,5,6,0
3148,5,4,0
3149,5,4,1
3150,4,2,0
3151,0,0,0
3152,6,6,1
3153,12,11,1
3154,6,6,0
3155,2,3,0
3156,9,8,1
3157,3,2,0
3158,6,3,0
3159,3,2,0
3160,0,0,1
3161,6,5,1
3162,7,7,1
3163,6,6,1
3164,5,5,1
3165,5,4,1
3166,2,1,0
3167,3,3,0
3168,6,6,0
3169,7,4,1
3170,4,5,1
3171,5,4,0
3172,5,4,0
3173,5,6,1
3174,5,6,0
3175,0,0,0
3176,6,8,1
3177,6,6,0
3178,7,7,1
3179,5,5,0
3180,6,6,1
3181,5,3,0
3182,11,8,1
3183,4,4,0
3184,6,5,1
3185,0,0,0
3186,0,0,0
3187,0,0,0
3188,1,0,0
3189,0,0,0
3190,0,0,0
3191,4,4,0
3192,3,3,0
3193,7,4,0
3194,7,9,0
3195,0,0,0
3196,5,5,0
3197,5,3,1
3198,0,0,0
3199,7,7,1
3200,0,0,0
3201,6,6,1
3202,6,3,0
3203,4,3,0
3204,6,0,0
3205,0,0,0
3206,5,5,1
3207,6,6,0
3208,4,5,0
3209,5,4,1
3210,6,6,1
3211,0,0,0
3212,6,6,1
3213,0,0,0
3214,6,6,1
3215,6,6,1
3216,5,2,0
3217,3,4,1
3218,9,7,0
3219,0,0,0
3220,1,0,0
3221,5,5,0
3222,6,6,1
3223,0,0,0
3224,1,4,0
3225,8,8,1
3226,6,6,1
3227,4,4,0
3228,7,8,1
3229,6,6,1
3230,7,7,1
3231,4,4,0
3232,4,5,1
3233,0,0,0
3234,7,8,1
3235,7,8,1
3236,5,5,1
3237,3,4,0
3238,7,8,1
3239,6,6,1
3240,3,5,0
3241,14,11,1
3242,3,1,0
3243,8,8,1
3244,5,3,0
3245,6,6,0
3246,6,6,1
3247,6,6,1
3248,5,5,1
3249,6,6,1
3250,1,0,0
3251,4,4,1
3252,0,0,0
3253,3,1,0
3254,6,6,1
3255,4,4,1
3256,6,6,1
3257,5,6,1
3258,7,5,1
3259,6,6,1
3260,4,5,1
3261,5,5,1
3262,0,0,0
3263,4,5,1
3264,5,1,0
3265,6,6,1
3266,5,5,1
3267,3,5,0
3268,0,0,0
3269,7,5,0
3270,4,2,0
3271,8,7,1
3272,11,10,1
3273,6,6,0
3274,1,0,0
3275,13,7,1
3276,10,5,0
3277,5,5,1
3278,1,2,0
3279,2,6,1
3280,7,8,1
3281,12,8,0
3282,9,9,0
3283,6,6,1
3284,4,4,0
3285,5,5,1
3286,1,0,0
3287,4,3,0
3288,4,5,1
3289,18,13,1
3290,1,0,0
3291,1,0,0
3292,2,1,0
3293,7,7,0
3294,6,6,0
3295,4,4,1
3296,5,6,0
3297,4,5,0
3298,6,6,1
3299,0,0,0
3300,0,0,0
3301,7,8,1
3302,7,8,1
3303,5,5,1
3304,6,6,1
3305,6,6,1
3306,10,11,1
3307,11,7,1
3308,8,8,1
3309,0,0,0
3310,6,5,1
3311,6,6,0
3312,5,6,0
3313,6,5,0
3314,0,0,0
3315,5,5,1
3316,1,2,0
3317,0,0,1
3318,4,1,0
3319,5,6,1
3320,6,3,1
3321,0,0,0
3322,2,0,0
3323,5,5,0
3324,0,0,0
3325,5,2,0
3326,9,8,1
3327,0,1,0
3328,1,2,0
3329,5,3,0
3330,5,6,1
3331,5,5,0
3332,2,2,0
3333,1,3,0
3334,4,5,1
3335,0,1,0
3336,2,0,0
3337,7,4,0
3338,3,3,0
3339,4,4,0
3340,0,0,0
3341,5,4,0
3342,6,6,1
3343,1,2,0
3344,5,3,0
3345,2,1,0
3346,0,0,0
3347,0,0,0
3348,6,5,1
3349,2,0,0
3350,6,6,0
3351,1,2,0
3352,3,2,0
3353,6,5,1
3354,8,8,1
3355,2,0,0
3356,1,3,0
3357,0,0,0
3358,0,0,0
3359,4,5,0
3360,3,5,0
3361,6,6,1
3362,5,5,1
3363,0,0,0
3364,5,4,0
3365,2,1,0
3366,2,3,0
3367,6,6,1
3368,7,7,0
3369,4,3,0
3370,0,0,0
3371,7,7,1
3372,6,6,1
3373,5,5,1
3374,6,6,1
3375,6,6,1
3376,6,6,1
3377,7,7,1
3378,4,3,0
3379,6,6,1
3380,3,3,0
3381,13,11,0
3382,6,6,1
3383,0,0,0
3384,2,3,0
3385,5,6,1
3386,7,8,1
3387,6,6,1
3388,12,11,1
3389,2,5,0
3390,7,7,1
3391,8,8,1
3392,5,6,1
3393,5,5,1
3394,4,3,0
3395,11,9,1
3396,0,4,0
3397,8,8,1
3398,6,6,1
3399,6,6,1
3400,6,6,1
3401,6,5,0
3402,5,6,1
3403,7,8,1
3404,5,4,0
3405,0,0,1
3406,5,5,0
3407,8,8,1
3408,0,0,0
3409,6,6,1
3410,6,4,0
3411,7,7,1
3412,1,0,0
3413,0,0,0
3414,6,7,1
3415,6,6,0
3416,6,6,0
3417,2,0,0
3418,7,7,1
3419,6,6,1
3420,8,8,1
3421,0,0,0
3422,6,2,0
3423,5,5,0
3424,0,0,0
3425,3,0,0
3426,5,2,0
3427,6,6,1
3428,4,6,0
3429,0,0,0
3430,6,6,1
3431,7,7,1
3432,6,6,1
3433,7,8,0
3434,6,6,0
3435,6,6,1
3436,6,6,1
3437,8,9,0
3438,6,8,1
3439,2,2,0
3440,6,7,0
3441,3,5,0
3442,6,5,1
3443,6,6,1
3444,6,4,0
3445,7,7,1
3446,6,6,0
3447,0,0,1
3448,6,6,1
3449,7,8,1
3450,5,5,0
3451,4,5,0
3452,7,7,1
3453,7,7,1
3454,2,1,0
3455,6,6,1
3456,13,11,1
3457,6,6,1
3458,5,6,1
3459,0,0,0
3460,6,6,1
3461,5,5,0
3462,4,3,0
3463,3,5,0
3464,6,6,1
3465,0,0,0
3466,4,2,0
3467,7,8,1
3468,5,4,0
3469,7,7,0
3470,7,7,1
3471,6,6,1
3472,0,0,0
3473,14,13,0
3474,0,0,0
3475,6,5,1
3476,18,13,1
3477,6,5,0
3478,7,1,0
3479,6,6,1
3480,8,8,1
3481,0,0,1
3482,0,0,0
3483,5,5,0
3484,5,4,0
3485,3,5,0
3486,7,7,1
3487,0,0,0
3488,2,3,0
3489,5,5,1
3490,0,0,0
3491,0,0,0
3492,0,1,0
3493,0,0,0
3494,5,4,1
3495,6,6,1
3496,2,3,0
3497,4,4,0
3498,6,6,1
3499,0,0,0
3500,5,5,0
3501,6,0,0
3502,6,6,1
3503,6,4,1
3504,6,5,1
3505,0,0,0
3506,0,0,0
3507,5,5,1
3508,4,4,0
3509,7,8,1
3510,7,8,0
3511,5,2,0
3512,0,0,0
3513,1,0,0
3514,3,4,0
3515,1,4,0
3516,0,0,0
3517,0,1,0
3518,4,2,0
3519,7,6,0
3520,5,5,1
3521,13,12,0
3522,6,6,1
3523,2,3,0
3524,5,5,0
3525,6,6,1
3526,5,5,0
3527,5,6,0
3528,4,3,0
3529,5,7,0
3530,6,5,1
3531,8,9,0
3532,5,5,1
3533,0,0,0
3534,2,0,0
3535,13,9,0
3536,0,0,0
3537,0,0,0
3538,4,4,0
3539,6,6,1
3540,1,0,0
3541,6,2,0
3542,4,4,0
3543,5,5,0
3544,2,3,0
3545,6,6,1
3546,7,8,1
3547,0,0,0
3548,0,0,0
3549,6,6,1
3550,6,5,0
3551,0,0,0
3552,3,3,0
3553,5,5,0
3554,6,5,0
3555,6,6,1
3556,6,4,0
3557,0,0,0
3558,6,6,0
3559,5,4,1
3560,5,0,0
3561,6,6,1
3562,0,0,0
3563,2,2,0
3564,0,0,0
3565,3,3,0
3566,18,18,1
3567,5,5,1
3568,3,5,1
3569,0,0,0
3570,5,4,1
3571,5,5,1
3572,7,5,0
3573,0,0,0
3574,6,6,1
3575,6,6,1
3576,5,4,1
3577,2,2,0
3578,0,0,0
3579,6,6,1
3580,5,5,1
3581,7,7,1
3582,0,0,0
3583,4,5,0
3584,9,7,1
3585,2,2,0
3586,0,0,0
3587,12,12,1
3588,5,4,1
3589,0,0,0
3590,0,0,0
3591,7,7,0
3592,9,6,0
3593,6,5,0
3594,2,5,0
3595,3,1,0
3596,3,3,0
3597,6,6,1
3598,6,5,1
3599,11,6,0
3600,0,0,0
3601,6,6,1
3602,6,6,1
3603,5,3,0
3604,6,6,1
3605,5,3,1
3606,5,5,0
3607,0,0,0
3608,5,5,0
3609,0,0,0
3610,2,3,0
3611,6,6,1
3612,4,2,0
3613,3,2,0
3614,7,6,0
3615,3,4,0
3616,5,5,0
3617,5,5,0
3618,6,6,1
3619,6,6,1
3620,4,5,0
3621,7,8,1
3622,6,6,1
3623,4,0,0
3624,3,4,1
3625,1,1,0
3626,7,2,0
3627,6,5,0
3628,0,0,0
3629,6,6,1
3630,6,7,1
3631,6,2,0
3632,3,2,0
3633,9,7,1
3634,4,4,1
3635,18,18,1
3636,6,6,1
3637,7,6,0
3638,7,8,1
3639,6,6,1
3640,6,6,1
3641,0,0,0
3642,6,5,1
3643,4,5,1
3644,6,6,1
3645,6,6,1
3646,3,4,0
3647,0,0,0
3648,7,7,1
3649,6,1,0
3650,12,11,1
3651,5,4,0
3652,7,8,1
3653,6,5,0
3654,6,6,1
3655,6,6,1
3656,3,3,1
3657,6,7,1
3658,5,5,1
3659,2,4,0
3660,0,0,0
3661,6,6,1
3662,3,5,1
3663,6,7,1
3664,6,7,0
3665,6,5,0
3666,8,5,0
3667,0,0,0
3668,6,6,1
3669,6,6,1
3670,12,11,1
3671,6,6,1
3672,6,6,1
3673,6,4,1
3674,6,6,1
3675,6,6,1
3676,9,4,1
3677,1,0,0
3678,6,6,1
3679,6,6,1
3680,0,0,0
3681,5,5,0
3682,0,0,0
3683,0,0,1
3684,2,4,0
3685,6,6,0
3686,11,11,0
3687,1,0,0
3688,5,4,1
3689,1,3,0
3690,5,4,1
3691,1,1,0
3692,1,0,0
3693,5,2,0
3694,0,0,0
3695,2,1,0
3696,6,5,1
3697,5,2,0
3698,5,7,1
3699,0,0,0
3700,6,5,0
3701,5,3,0
3702,0,0,0
3703,0,0,0
3704,6,6,1
3705,5,4,0
3706,5,4,1
3707,0,0,1
3708,6,5,0
3709,3,4,0
3710,4,5,1
3711,0,0,0
3712,3,3,0
3713,0,0,0
3714,0,0,0
3715,2,2,0
3716,2,2,0
3717,0,0,1
3718,2,0,0
3719,6,0,0
3720,1,0,0
3721,1,0,0
3722,0,0,0
3723,1,3,0
3724,4,5,0
3725,5,6,0
3726,0,0,0
3727,4,5,1
3728,11,10,1
3729,12,12,1
3730,6,7,1
3731,5,4,0
3732,0,0,1
3733,6,4,0
3734,5,7,0
3735,6,6,1
3736,5,4,0
3737,5,2,0
3738,5,5,1
3739,0,2,0
3740,5,5,0
3741,3,5,0
3742,5,6,1
3743,6,4,0
3744,0,0,0
3745,0,0,1
3746,8,8,1
3747,0,4,1
3748,0,0,0
3749,6,6,1
3750,7,7,1
3751,10,12,1
3752,6,5,1
3753,6,6,1
3754,1,0,0
3755,7,8,0
3756,5,5,1
3757,7,8,1
3758,5,4,0
3759,0,0,0
3760,13,14,1
3761,0,0,0
3762,6,6,1
3763,6,6,1
3764,6,5,1
3765,6,6,1
3766,6,6,1
3767,3,0,0
3768,5,5,0
3769,6,5,0
3770,0,0,0
3771,5,5,1
3772,6,6,1
3773,0,0,0
3774,6,6,1
3775,4,2,0
3776,6,6,1
3777,6,6,1
3778,4,2,0
3779,3,3,0
3780,7,7,1
3781,6,6,1
3782,7,7,1
3783,5,6,0
3784,4,4,0
3785,3,3,0
3786,0,0,0
3787,5,0,0
3788,5,6,0
3789,3,2,0
3790,7,8,1
3791,4,3,0
3792,0,0,0
3793,0,0,0
3794,1,2,0
3795,5,5,1
3796,6,5,1
3797,0,0,0
3798,6,6,1
3799,0,0,0
3800,0,0,0
3801,7,7,1
3802,9,7,1
3803,9,7,1
3804,4,2,0
3805,4,2,0
3806,6,6,1
3807,6,6,1
3808,17,16,0
3809,4,5,0
3810,5,5,0
3811,4,4,0
3812,9,9,1
3813,14,11,1
3814,9,7,1
3815,7,7,0
3816,4,3,0
3817,18,13,1
3818,0,0,0
3819,0,0,0
3820,5,2,0
3821,0,0,0
3822,6,6,1
3823,4,2,0
3824,0,1,0
3825,0,0,0
3826,3,3,0
3827,5,5,1
3828,0,1,0
3829,6,4,0
3830,7,7,1
3831,5,5,0
3832,7,7,0
3833,0,0,0
3834,4,6,1
3835,3,5,0
3836,0,3,0
3837,4,3,0
3838,1,1,0
3839,0,0,0
3840,6,3,0
3841,4,3,0
3842,3,0,0
3843,1,1,0
3844,3,5,1
3845,0,0,0
3846,3,0,0
3847,0,0,0
3848,8,5,0
3849,6,6,1
3850,0,0,0
3851,5,5,0
3852,0,2,0
3853,14,12,0
3854,2,0,0
3855,6,6,1
3856,6,5,1
3857,5,5,1
3858,0,0,0
3859,1,1,0
3860,1,4,0
3861,1,0,0
3862,5,6,1
3863,6,6,1
3864,3,2,0
3865,2,0,0
3866,0,0,0
3867,7,7,1
3868,6,4,1
3869,4,3,0
3870,6,5,1
3871,5,5,1
3872,6,6,1
3873,4,0,0
3874,0,0,0
3875,0,0,0
3876,7,7,0
3877,8,8,1
3878,6,6,1
3879,5,5,1
3880,6,6,1
3881,6,6,1
3882,4,4,0
3883,5,4,1
3884,7,7,1
3885,6,6,1
3886,6,5,0
3887,4,4,0
3888,5,5,1
3889,7,8,1
3890,7,6,0
3891,6,6,0
3892,4,4,1
3893,1,2,0
3894,4,5,0
3895,6,6,1
3896,1,0,0
3897,7,8,1
3898,5,5,1
3899,5,5,0
3900,6,6,1
3901,4,3,0
3902,4,4,0
3903,3,3,0
3904,0,0,0
3905,6,3,1
3906,7,7,1
3907,4,3,0
3908,6,6,1
3909,0,0,0
3910,6,5,0
3911,6,6,1
3912,5,5,1
3913,4,4,1
3914,5,8,0
3915,5,5,1
3916,4,6,1
3917,6,6,1
3918,3,3,0
3919,7,7,1
3920,6,3,1
3921,6,8,1
3922,4,6,1
3923,8,7,1
3924,11,9,0
3925,1,0,0
3926,8,8,1
3927,6,5,0
3928,0,0,1
3929,5,4,0
3930,6,6,1
3931,6,6,1
3932,8,10,1
3933,1,2,0
3934,0,0,0
3935,4,4,0
3936,2,4,0
3937,4,2,0
3938,7,8,1
3939,7,8,1
3940,3,4,0
3941,0,0,0
3942,6,4,1
3943,0,0,0
3944,0,0,0
3945,6,6,1
3946,0,0,1
3947,0,0,0
3948,5,5,1
3949,5,5,1
3950,6,3,0
3951,0,0,0
3952,7,7,1
3953,5,5,1
3954,2,1,0
3955,0,0,0
3956,5,5,1
3957,4,4,1
3958,7,8,1
3959,6,6,1
3960,0,0,0
3961,26,17,1
3962,6,6,1
3963,12,10,1
3964,5,2,0
3965,8,8,1
3966,3,4,0
3967,0,0,0
3968,6,3,1
3969,5,5,1
3970,6,5,1
3971,6,7,1
3972,4,5,1
3973,7,8,1
3974,4,5,1
3975,7,8,1
3976,7,8,1
3977,6,6,1
3978,7,7,1
3979,5,5,0
3980,6,6,1
3981,6,6,1
3982,5,7,1
3983,6,6,1
3984,0,0,0
3985,6,6,1
3986,4,5,1
3987,6,6,1
3988,5,3,1
3989,13,11,1
3990,16,9,1
3991,4,2,0
3992,6,6,1
3993,6,5,1
3994,12,9,1
3995,2,0,0
3996,3,2,0
3997,7,8,1
3998,5,3,0
3999,6,8,0
4000,0,0,0
4001,0,0,0
4002,6,6,1
4003,6,6,1
4004,6,6,1
4005,0,0,0
4006,6,6,1
4007,3,0,0
4008,4,0,0
4009,0,0,0
4010,0,0,0
4011,3,3,0
4012,0,0,0
4013,7,8,1
4014,7,8,1
4015,3,3,0
4016,3,4,0
4017,0,0,0
4018,6,6,1
4019,8,8,1
4020,3,0,0
4021,7,7,1
4022,5,5,1
4023,6,6,0
4024,0,2,0
4025,5,5,0
4026,12,9,1
4027,6,6,0
4028,6,6,1
4029,3,0,0
4030,5,5,1
4031,12,10,0
4032,8,8,1
4033,0,0,0
4034,0,0,0
4035,0,0,0
4036,6,5,1
4037,1,5,0
4038,6,6,1
4039,7,7,1
4040,5,5,1
4041,6,6,1
4042,5,6,1
4043,7,7,0
4044,6,6,1
4045,0,0,0
4046,6,4,1
4047,7,7,1
4048,7,7,1
4049,6,7,1
4050,0,0,0
4051,6,6,1
4052,4,3,0
4053,5,6,0
4054,6,6,1
4055,4,4,0
4056,6,3,1
4057,6,4,0
4058,6,6,1
4059,0,0,0
4060,6,6,1
4061,4,5,1
4062,11,9,1
4063,5,5,1
4064,12,11,0
4065,6,5,0
4066,7,8,1
4067,0,0,0
4068,5,5,1
4069,6,6,1
4070,7,8,1
4071,4,4,0
4072,6,6,0
4073,6,6,1
4074,7,8,1
4075,0,0,0
4076,7,7,1
4077,2,0,0
4078,5,5,1
4079,6,5,0
4080,0,0,0
4081,2,4,0
4082,4,4,0
4083,5,5,1
4084,0,0,0
4085,6,3,0
4086,6,6,1
4087,7,7,0
4088,8,9,0
4089,3,1,0
4090,5,6,1
4091,2,3,0
4092,6,0,0
4093,6,6,1
4094,4,6,1
4095,6,6,1
4096,6,6,1
4097,12,11,1
4098,0,0,0
4099,0,0,0
4100,7,8,0
4101,6,6,1
4102,6,6,1
4103,5,4,0
4104,6,6,1
4105,5,5,1
4106,4,5,1
4107,6,6,0
4108,7,7,1
4109,4,5,1
4110,7,7,1
4111,7,8,1
4112,7,7,1
4113,0,0,0
4114,6,6,1
4115,6,3,0
4116,6,6,0
4117,7,7,1
4118,5,5,1
4119,4,5,1
4120,7,7,1
4121,6,6,1
4122,5,6,1
4123,6,6,1
4124,2,5,0
4125,7,7,0
4126,3,4,0
4127,6,6,1
4128,6,6,1
4129,6,6,1
4130,7,8,1
4131,7,7,1
4132,8,8,0
4133,5,5,0
4134,4,6,1
4135,5,5,1
4136,7,7,1
4137,6,5,1
4138,3,4,0
4139,4,4,1
4140,0,0,0
4141,2,1,0
4142,6,6,1
4143,5,7,0
4144,6,8,0
4145,0,0,0
4146,4,4,0
4147,4,2,0
4148,2,2,0
4149,12,12,1
4150,6,6,1
4151,5,5,1
4152,5,4,1
4153,0,0,0
4154,3,3,0
4155,5,6,1
4156,7,7,0
4157,1,2,0
4158,6,7,1
4159,6,6,1
4160,5,6,1
4161,5,5,0
4162,6,3,0
4163,6,6,1
4164,0,0,0
4165,7,8,1
4166,4,4,0
4167,6,6,1
4168,4,4,1
4169,0,0,0
4170,4,3,0
4171,0,4,0
4172,1,1,0
4173,7,8,1
4174,6,6,1
4175,7,7,1
4176,6,6,1
4177,6,5,0
4178,7,7,1
4179,7,8,1
4180,4,3,0
4181,0,0,0
4182,5,3,0
4183,5,5,1
4184,5,5,1
4185,0,0,0
4186,3,4,0
4187,5,6,1
4188,4,5,1
4189,12,8,1
4190,3,6,0
4191,6,4,0
4192,4,5,0
4193,6,4,1
4194,2,0,0
4195,6,4,1
4196,7,7,1
4197,6,6,1
4198,3,4,0
4199,7,7,1
4200,4,5,1
4201,6,6,1
4202,0,0,0
4203,5,6,1
4204,5,4,0
4205,6,6,1
4206,6,4,1
4207,7,8,1
4208,0,0,0
4209,5,5,1
4210,6,4,1
4211,6,6,1
4212,6,6,1
4213,5,5,1
4214,7,8,1
4215,0,0,0
4216,0,0,0
4217,6,6,1
4218,6,6,0
4219,5,6,1
4220,2,0,0
4221,6,6,1
4222,6,6,1
4223,6,6,1
4224,6,8,1
4225,6,6,1
4226,4,6,0
4227,6,6,1
4228,5,5,0
4229,1,0,0
4230,7,8,1
4231,4,4,0
4232,3,4,0
4233,7,7,1
4234,3,4,0
4235,4,3,0
4236,6,6,1
4237,6,6,0
4238,3,2,0
4239,6,6,1
4240,6,5,1
4241,7,7,0
4242,4,2,0
4243,6,6,0
4244,12,10,0
4245,0,0,0
4246,12,8,0
4247,6,6,1
4248,3,3,0
4249,10,10,1
4250,5,5,0
4251,2,0,0
4252,5,5,1
4253,5,0,0
4254,3,4,0
4255,13,9,0
4256,7,7,1
4257,3,4,0
4258,7,7,1
4259,3,2,0
4260,0,0,0
4261,9,9,0
4262,5,5,1
4263,3,1,0
4264,6,6,1
4265,6,6,1
4266,0,0,0
4267,6,5,1
4268,4,4,0
4269,6,1,0
4270,6,6,1
4271,5,5,0
4272,7,7,1
4273,3,3,0
4274,6,5,0
4275,4,3,0
4276,1,0,0
4277,1,3,0
4278,6,6,1
4279,0,0,0
4280,1,0,0
4281,3,0,0
4282,4,3,0
4283,1,0,0
4284,6,7,0
4285,4,3,0
4286,5,4,1
4287,3,5,1
4288,2,2,0
4289,5,6,1
4290,12,11,1
4291,0,0,1
4292,7,8,1
4293,3,1,0
4294,18,12,1
4295,8,6,0
4296,4,7,1
4297,5,6,1
4298,3,0,0
4299,1,1,0
4300,5,5,1
4301,0,0,0
4302,13,12,0
4303,5,6,0
4304,4,0,0
4305,4,5,0
4306,0,0,0
4307,0,0,0
4308,0,0,0
4309,6,5,1
4310,6,6,1
4311,0,1,0
4312,4,2,0
4313,21,19,1
4314,0,0,0
4315,3,2,0
4316,6,6,1
4317,6,6,1
4318,12,11,1
4319,5,6,1
4320,3,4,0
4321,4,4,0
4322,5,4,0
4323,2,0,0
4324,7,7,1
4325,13,10,1
4326,4,5,0
4327,0,0,0
4328,6,5,0
4329,5,6,1
4330,0,0,0
4331,0,0,0
4332,5,6,1
4333,6,5,0
4334,6,6,1
4335,3,2,0
4336,1,1,0
4337,5,4,1
4338,3,4,0
4339,12,12,1
4340,3,4,1
4341,7,7,1
4342,3,3,0
4343,5,6,0
4344,5,5,0
4345,6,6,1
4346,1,0,0
4347,2,2,0
4348,7,8,1
4349,7,7,1
4350,6,5,1
4351,6,6,1
4352,6,6,0
4353,0,0,1
4354,3,4,0
4355,5,5,1
4356,3,0,0
4357,2,3,0
4358,2,1,0
4359,6,5,1
4360,6,6,1
4361,8,8,1
4362,5,4,1
4363,2,0,0
4364,4,4,0
4365,0,0,1
4366,6,4,1
4367,6,6,1
4368,0,0,0
4369,6,6,0
4370,0,0,1
4371,7,8,1
4372,0,0,0
4373,2,6,0
4374,7,7,1
4375,0,0,0
4376,7,7,1
4377,14,12,0
4378,7,8,1
4379,5,5,0
4380,4,4,0
4381,0,0,0
4382,7,7,1
4383,6,6,1
4384,2,4,0
4385,0,0,0
4386,3,2,0
4387,4,5,0
4388,13,12,0
4389,6,6,1
4390,5,5,1
4391,7,7,0
4392,4,5,0
4393,3,3,1
4394,8,8,1
4395,6,5,0
4396,6,6,1
4397,5,3,0
4398,4,4,1
4399,6,6,1
4400,4,3,0
4401,3,0,0
4402,5,6,0
4403,6,7,1
4404,1,2,0
4405,7,7,1
4406,4,2,0
4407,6,6,1
4408,5,6,0
4409,5,5,1
4410,6,5,1
4411,6,3,0
4412,4,5,0
4413,5,2,0
4414,5,5,1
4415,3,3,0
4416,12,12,1
4417,6,6,1
4418,6,7,1
4419,5,5,1
4420,6,2,0
4421,7,1,0
4422,5,5,1
4423,6,6,1
